Year,County of Residence,Births Registered,First Births Registered,Births within Marriage,Births outside Marriage,Average Age of Mother - First Births only,Average Age of Mothers First Births - outside marriage,Average Age of Mother - outside Marriage,Average Age of Mothers
2022,Ireland,57495,22939,32757,24738,31.5,29.8,31.1,33.2
2022,Cork City Council,1164,,592,572,31.3,29.6,30.5,32.5
2022,Clare County Council,1279,,734,545,32.2,30.9,31.5,33.7
2022,Cavan County Council,1039,,600,439,30.9,29.3,31.1,33.2
2022,Cork County Council,4906,,3036,1870,32.3,30.7,31.9,34
2022,Carlow County Council,724,,346,378,30.5,28.7,30.3,32.4
2022,Dublin City Council,6967,,3582,3385,31.6,29.9,30.9,32.8
2022,Dún Laoghaire Rathdown County Council,2434,,1765,669,33.2,31.8,32.8,34.9
2022,Donegal County Council,1667,,916,751,30.1,28.3,30.2,32.6
2022,Fingal County Council,3929,,2419,1510,31.7,30.5,31.8,33.5
2022,Galway County Council,2279,,1497,782,33,31.5,32.4,34.4
2022,Galway City Council,697,,459,238,32.5,31.7,32.1,33.8
2022,Kildare County Council,3051,,1835,1216,31.7,29.8,30.9,33.4
2022,Kilkenny County Council,1045,,593,452,31.8,30.3,31.6,33.7
2022,Kerry County Council,1507,,829,678,31.7,30.1,31.6,33.7
2022,Longford County Council,514,,294,220,30.4,28.5,30.6,32.5
2022,Louth County Council,1748,,857,891,30.3,28.5,30.1,32.3
2022,Limerick City & County Council,2341,,1294,1047,30.5,28.7,30.4,32.7
2022,Leitrim County Council,391,,247,144,31,30,31.3,33.4
2022,Laois County Council,980,,537,443,31.2,29.4,30.3,32.7
2022,Meath County Council,2703,,1582,1121,31.4,30.2,31.3,33.2
2022,Monaghan County Council,787,,453,334,30.9,29.7,31.4,33.3
2022,Mayo  County Council,1484,,905,579,31.8,30.1,31.4,33.8
2022,Offaly County Council,877,,476,401,31,28.3,29.3,32
2022,Roscommon County Council,704,,447,257,32.9,30.1,30.6,33.5
2022,South Dublin County Council,3820,,1986,1834,30.8,29.3,30.7,32.6
2022,Sligo County Council,677,,394,283,31.5,30.5,31.7,33.4
2022,Tipperary County Council,1802,,959,843,30.6,28.7,30.4,32.8
2022,Waterford City & County Council,1357,,686,671,31.1,29.9,31.1,32.8
2022,Westmeath County Council,1145,,649,496,30.8,28.2,29.9,32.5
2022,Wicklow County Council,1727,,958,769,32.2,30.8,31.9,33.8
2022,Wexford County Council,1750,,830,920,30,28.7,30.3,32.3
2023,Ireland,54622,22459,32314,22308,31.6,29.9,31.2,33.2
2023,Cork City Council,1180,,633,547,31.7,29.8,30.8,32.8
2023,Clare County Council,1258,,740,518,31.9,30.3,31.3,33.4
2023,Cavan County Council,974,,610,364,31.4,28.9,30.4,33.1
2023,Cork County Council,4605,,2962,1643,32.5,30.9,32,34
2023,Carlow County Council,649,,311,338,30.5,29.1,29.9,32.2
2023,Dublin City Council,6280,,3378,2902,31.7,30.3,31.2,33
2023,Dún Laoghaire Rathdown County Council,2298,,1668,630,33.7,33.1,33.5,35
2023,Donegal County Council,1773,,997,776,30.5,28.7,30.7,32.7
2023,Fingal County Council,3590,,2288,1302,31.8,30.4,31.5,33.5
2023,Galway County Council,2226,,1491,735,32.7,30.8,32.1,34.1
2023,Galway City Council,720,,524,196,32.8,31.6,32.7,33.9
2023,Kildare County Council,2989,,1849,1140,31.7,30.2,31.4,33.4
2023,Kilkenny County Council,1060,,649,411,32.1,30.8,31.3,33.6
2023,Kerry County Council,1460,,842,618,31.7,30.1,31.1,33.4
2023,Longford County Council,503,,296,207,30,28.1,30.2,32.2
2023,Louth County Council,1578,,809,769,30.7,29.1,30.6,32.4
2023,Limerick City & County Council,2275,,1315,960,31.1,29.2,30.5,32.8
2023,Leitrim County Council,338,,216,122,31.8,29.6,31.3,33.5
2023,Laois County Council,958,,560,398,30.6,28.8,30.7,32.7
2023,Meath County Council,2667,,1577,1090,31.6,30.1,31.5,33.3
2023,Monaghan County Council,724,,434,290,30.3,28.5,30.1,32.6
2023,Mayo  County Council,1400,,866,534,32,30.5,31.8,33.7
2023,Offaly County Council,865,,479,386,30.2,28.9,30.4,32.4
2023,Roscommon County Council,712,,456,256,32,30,31.2,33.4
2023,South Dublin County Council,3363,,1879,1484,30.9,29.2,31,32.8
2023,Sligo County Council,702,,409,293,31.2,29.8,31.3,33.3
2023,Tipperary County Council,1736,,930,806,30.6,28.7,30.4,32.6
2023,Waterford City & County Council,1290,,719,571,30.9,29.5,31,32.9
2023,Westmeath County Council,1089,,616,473,30.3,28.1,29.9,32.5
2023,Wicklow County Council,1588,,920,668,32.1,30.1,31.5,33.6
2023,Wexford County Council,1772,,891,881,29.9,28.2,29.9,32.1
